config,run,seed,files,finished,gate_sat_mean,lsd_db,mmacs,mode,ood_libri_esc50_matched_pesq,ood_libri_esc50_pesq,ood_vb_esc50_pesq,params,pause_db,pesq,sisdr,stoi,temp_spread_max,vs_base_ci_hi,vs_base_ci_lo,vs_base_dpesq,vs_base_wins,vs_official_ci_hi,vs_official_ci_lo,vs_official_dpesq,vs_official_wins
base,base_s0,0,824,True,,10.476380188809134,30.014446399999997,,1.413933964172999,1.3186559164524079,2.051871934334437,23669,1.99175113365674,2.786734469596622,18.427335404373004,0.9372412704380008,,,,,,-0.05096700981765697,-0.08752421497647622,-0.06901686125009962,340/824
base,base_s1,1,824,True,,10.749868463417616,30.014446399999997,,1.4077885484695434,1.3264493072032928,2.091042689681053,23669,0.8932757341990772,2.8013390411161683,18.37281389180953,0.9353322821430796,,,,,,-0.037018025944967885,-0.07308350984115623,-0.05441228973055349,352/824
base,base_s2,2,824,True,,10.799094550022694,30.014446399999997,,1.423881979584694,1.3440479481220244,2.0760657423734665,23669,1.6815803934859712,2.8110189665000416,18.40003963840642,0.9364537871630121,,,,,,-0.027696493253545854,-0.06300474122817655,-0.04473236434668013,371/824
base_wt0p3,base_wt0p3_s0,0,824,True,,11.125684036908899,30.014446399999997,,,,,23669,-1.2133150973490479,1.883287728990166,4.861780076390205,nan,,,,,,-0.9345134078045784,-1.0111512126491486,-0.9724636018565558,10/824
base_wt0p3,base_wt0p3_s1,1,824,True,,11.028434643429163,30.014446399999997,,,,,23669,-1.6732544487115575,1.8914276496009919,5.050097646902942,0.8896957274918464,,,,,,-0.9278217775801432,-1.0027700416382077,-0.9643236812457298,15/824
base_wt0p3,base_wt0p3_s2,2,824,True,,11.509319878962986,30.014446399999997,,,,,23669,-1.0262094469756662,1.907970175581071,4.384624675324281,0.8835658890860693,,,,,,-0.9126089198677575,-0.9846007367614114,-0.9477811552656507,14/824
base_wt1,base_wt1_s0,0,824,True,,14.738521928797317,30.014446399999997,,,,,23669,-9.942071984675938,2.3741499291172303,16.379877694129416,nan,,,,,,-0.45917070189726006,-0.504557014574993,-0.4816014017294912,41/824
base_wt1,base_wt1_s1,1,824,True,,15.199474391332467,30.014446399999997,,,,,23669,-11.196122504788178,2.3220122566500914,16.30003007570763,nan,,,,,,-0.5087906768238082,-0.5599020458685542,-0.5337390741966304,32/824
base_wt1,base_wt1_s2,2,824,True,,15.444493896904357,30.014446399999997,,,,,23669,-11.504586845626,2.3110910376298777,16.25539072072813,nan,,,,,,-0.5201562579178695,-0.5703160381107365,-0.5446602932168442,28/824
base_wt3,base_wt3_s0,0,824,True,,20.09366811662004,30.014446399999997,,,,,23669,-15.400831978390134,2.4150200118717637,18.48869597291646,nan,,,,,,-0.41859340335703593,-0.4629341132830358,-0.4407313189749579,40/824
base_wt3,base_wt3_s1,1,824,True,,19.963433218546704,30.014446399999997,,,,,23669,-14.295167697774716,2.4623696458281823,18.481746511880267,nan,,,,,,-0.3746838587471871,-0.41162769268221644,-0.39338168501853943,39/824
base_wt3,base_wt3_s2,2,824,True,,19.782236974161442,30.014446399999997,,,,,23669,-16.468923054839284,2.438928683984627,18.514602969311383,0.9262549602599404,,,,,,-0.3953479012420166,-0.43784105503226367,-0.41682264686209486,35/824
h1,h1_s0,0,824,True,0.23088685174783072,11.350031784932373,33.896648,,1.4318733292818069,1.3243173251549403,2.068560775121053,25859,1.6167163732631444,2.8080229958862932,18.50457426587241,0.93852376796846,0.0,0.03327088630170497,0.008841151805612648,0.02128852628967137,471/824,-0.030712275239593776,-0.06533989235397103,-0.047728334960428255,365/824
h1,h1_s1,1,824,True,0.15997706702910364,10.645358504963157,33.896648,,1.4361843391259512,1.338471461335818,2.068539621432622,25859,0.5627364219395967,2.822700456508155,18.509788810014378,0.9380436768268079,0.0,0.035108881006107734,0.007487520705727697,0.02136141539198681,468/824,-0.016460256705295693,-0.05006733433641855,-0.033050874338566676,376/824
h1,h1_s2,2,824,True,0.08581804111599922,11.305548902652301,33.896648,,1.4250852664311726,1.3361878180503846,2.045886457165082,25859,0.7689435491014612,2.8161279042658296,18.416723523915053,0.9361552576931547,0.0,0.018612051957729917,-0.008700872151163018,0.005108937765788106,415/824,-0.021341940030021576,-0.05848897205105106,-0.039623426580892025,395/824
h1_wt0p3,h1_wt0p3_s0,0,824,True,0.1230886816047132,10.685283970392717,33.896648,,,,,25859,2.4043452606277547,2.8004022965442785,18.410711145011668,0.9366697886289093,0.0,0.952017397386501,0.8803376128444973,0.9171145675541128,810/824,-0.03619857690505032,-0.07629799874662196,-0.05534903430244298,371/824
h1_wt0p3,h1_wt0p3_s1,1,824,True,0.10435780044645071,10.95078262920776,33.896648,,,,,25859,1.3942168108238235,2.841856882699485,18.657230040899357,0.9392826466365796,0.0,0.9859581384663154,0.9149752518469558,0.950429233098493,806/824,0.0010605162100016296,-0.02910121942246423,-0.013894448147236723,422/824
